Product ID,Height (cm),Width (cm),Depth (cm),Avg Daily Demand,Product Category,Score
P20106,35.43600154594432,22.622569382744683,33.657884701646566,49.12350782438044,Electronics,6.6973766123574086
P41070,28.556395880760576,24.461528485800997,44.91277935457518,16.094638115459496,Electronics,86.75132427015872
P29033,28.38714288333991,16.13805182254374,18.433577771733315,17.235752197138005,Food,39.1819373222931
P47714,23.283766320619485,24.27703268897948,26.857255941929058,6.472163266663273,Clothing,36.53945386230897
P14692,9.607678222398995,23.973593785892174,37.11603180582473,15.737615534958437,Food,54.27973794564518
P66892,32.598827942484235,11.500851774824962,28.8903665557074,69.11974049069218,Clothing,95.70848174442187
P27991,41.894704889246405,21.525084730120195,24.496715963300083,112.54138763693048,Electronics,89.87405450859782
P55994,35.43298029036388,28.18967636885585,16.27230652328793,31.88423206289136,Toys,47.03300883047672
P74441,27.182153911394927,26.79281688594515,29.32817283474006,2.4068707403666494,Toys,69.58232310238185
P82361,21.841897150345616,17.0654047054825,30.47421572516472,1.0599466874878019,Electronics,58.04292523434123
P29514,35.70890510693167,28.856645354295782,35.65144300200935,31.749477059619874,Clothing,69.34615790631675
P95243,17.031680520441533,18.475975152017508,,3.6669845525526696,Furniture,82.9327460062097
P84933,34.86501643826202,8.7584812255714,15.309887852760879,85.90732846284057,Food,3.4493828868593868
P11540,28.85460154747382,,45.44304770880517,70.12733744830625,Electronics,32.575985392789754
P72074,41.172958315881274,31.897969242687417,19.497532773502346,91.9845928091703,Toys,95.93291082338672
P77759,29.598420493556567,25.466631942488554,43.13747599414576,40.19980257472868,Food,94.93363085249241
P85981,33.46488475897993,16.06478041995036,25.6505106884586,63.76982005022873,Electronics,1.1220889977462511
P71987,16.198985417851084,23.741545374123465,13.513260251154977,86.89971105316049,Food,20.144012992236625
P88033,43.800913541474515,36.7075421829594,28.539763450047914,89.84170666960902,Food,99.37700423443627
P91251,36.77925871339269,2.0941501334002233,26.414151270918467,22.110058033015918,Furniture,49.28250758994859
P73955,37.21672064043235,18.479687719988043,14.924084844551482,56.55977920271893,Furniture,57.28660039668526
P11982,45.86016816145352,,5.628548098517378,0.7201488281935582,Electronics,16.642018552245254
P82065,25.538165667852205,22.430548764839006,28.201020537069063,44.90442926966808,Electronics,89.43356087585296
P91013,15.846292579495858,18.53682847116128,,43.52118438949303,Food,23.12642996491129
P36692,28.036501509150217,19.49180340307716,21.5137423190247,96.20971939459659,Clothing,18.964763001953656
P17411,20.316555451363648,24.899750352108818,24.431892881998767,44.952225965373756,Toys,22.812240332032818
P08797,26.37161439560341,33.3959394667803,26.64250927539292,56.30909120665986,Food,91.96217026410088
P02770,27.24948302848356,24.748453778246894,24.17740398241797,95.86243551622725,Toys,70.28467071768492
P18583,41.48765700372103,12.596602991523302,16.44180343281491,31.26468634734268,Toys,76.85963944902751
P35638,31.70865438127942,14.805015693428592,19.40168675001057,138.06973706983337,Electronics,37.703635818425276
P19795,12.974163957621595,27.140778706394475,26.305573713634434,42.29164624634655,Toys,90.91770149305614
P88961,20.960923585352102,23.637927297129075,7.040213975934353,47.60274642012351,Furniture,78.94079523393897
P01414,43.99355436586002,24.56490397775625,17.228557555315593,71.09427626660012,Food,75.05973625073213
P54326,17.62184501173151,26.08044770951682,32.88810080952642,,Food,97.09402836729517
P22255,32.24684725751886,6.760900510173631,24.69467296664882,97.71210705720915,Electronics,36.61968307933486
P02202,16.528737104703033,3.3270964840112924,16.89395755738768,2.8654294664635103,Electronics,61.09736467958812
P51024,46.283966231285376,26.83180781241779,,52.968013610866514,Electronics,90.99296989772162
P55072,10.245334336461287,33.63284413004393,34.32672602865232,0.23408381359735841,Clothing,79.08889431859525
P89057,20.813480535158018,19.427205985135465,20.245326580033186,,Furniture,56.3378958225615
P08578,29.652882302947567,22.39002326692549,23.251577812193325,84.38082725040245,Food,7.621368478019885
P17412,19.5308901731806,19.635902037590064,29.385747133404955,47.89338915447151,Food,65.27234395556732
P43915,22.27174785462428,22.655842644552116,10.090391130900036,121.65115978611315,Furniture,52.65555568678521
P85642,29.8148686400761,31.13972240051463,25.70719326747235,76.1223993376521,Clothing,18.41804614846264
P48227,32.54420843301213,17.570191769786682,47.60400896425981,41.86055065795108,Food,88.22531233425974
P06891,19.78767182869287,18.948219234626656,36.245544106355425,48.28876499441175,Food,34.32485948987433
P30456,17.63049289121918,18.50284587996361,18.631366946601766,8.217935834990108,Toys,38.74798935172969
P12076,26.835915503051982,7.6110536090900265,15.282373108517364,24.917249893411206,Furniture,67.24015487964105
P78355,25.54497478599228,19.955231849367628,18.968963195911904,55.9518055153246,Food,48.87987420412409
P96889,39.68644990532889,-3.370803867956859,31.837410659357516,55.88722822000162,Clothing,8.928107627914939
P29400,,20.191224346279643,-0.691639966139519,58.96393340965285,Clothing,38.74416173552348
P05309,,26.54311726420023,22.95271366041933,52.04216807745863,Electronics,9.446611793823312
P47706,38.6960592010566,13.042695349802445,43.44830886207333,57.449754275476465,Electronics,19.07504031233812
P35407,33.07406697809101,26.95323673997517,8.9695742698093,20.99894327892021,Clothing,0.7174438350453838
P52994,35.578103063518626,17.430057871056707,28.4509152826328,24.74535104395543,Food,18.131308148466218
P88811,22.031047445295233,28.96824533859577,27.818189260118398,82.13241501208415,Furniture,33.04473539983609
P41237,35.524899544171475,9.50224645254875,10.909167715549634,27.644966890479484,Clothing,53.82184337322946
P09603,29.295012219409088,19.608822532207157,35.98254606775946,16.55533437942757,Furniture,91.92772111827323
P89068,36.79597748934676,34.70546941436098,24.648824325602103,50.58032212435263,Food,54.032686724205526
P17016,5.761206733710434,31.626085306568275,38.02575129452626,49.40616966437876,Furniture,70.56035413643416
P92196,17.196956013291057,33.99667123364337,28.412378068535116,31.94166674194469,Toys,35.767709130577416
P85912,27.19324923133226,4.298994466619368,29.423550825221053,50.603194006072954,Toys,75.16307935672674
P92283,25.53485047932979,24.6935504118022,21.312820666334524,47.5185492831052,Furniture,62.04687460514774
P92557,13.075353702851807,23.507805910477817,30.367970238235774,63.08017325667739,Clothing,45.97940132748612
P99536,30.052436997181832,29.38499710069313,26.759335583979617,19.17789345421967,Electronics,19.37687948912258
P99063,33.088330125989636,29.647956132374528,20.545310676687343,54.09792186766257,Furniture,30.354090799729892
P01748,34.369381697463496,31.815475408946195,42.53508380310832,5.194706652405699,Clothing,62.094608737575506
P44974,,,33.81000602701101,1.057066900550069,Clothing,42.6056324364573
P76964,34.049817109609556,28.00836874053713,8.278886937415415,52.93439879279922,Food,88.93865567490519
P57938,28.482149049644168,17.526327383601092,22.028919154301946,71.92876929128649,Furniture,23.48402715355853
P55597,31.968612358691235,-2.9780977062531946,23.14049848273558,72.98728925121529,Furniture,7.307265225327231
P44186,27.969546139570074,19.925597430891084,38.19886773350743,49.33895407987189,Clothing,58.934857650548444
P15156,29.749730412548562,19.065872673638026,25.399229177640464,83.09652716160974,Clothing,88.60508401900759
P35409,1.0374462180631063,24.95769156772909,17.99046661461609,46.89239439782658,Toys,36.473902943978864
P18358,21.915063971068122,23.430532002644583,23.327388230265274,44.352159947410804,Furniture,64.77113348681651
P33172,33.95803533437409,4.96060491888764,26.631260463418453,62.19866102668022,Clothing,23.141262217714864
P75154,23.98632356048786,19.685541698978952,36.55686214553305,59.94943001377288,Toys,55.84719216726883
P88675,38.70067730688754,18.388067728419855,39.02910266047205,81.1581820762645,Electronics,78.67921008626531
P34603,26.513478655921407,22.976843780854903,30.702949222966527,107.00805272932894,Toys,86.70315987766838
P35158,34.90974951638251,6.884126699796527,21.934611637811248,87.33695481065767,Clothing,10.511912985239668
P26752,32.811914239693756,24.656212536677813,23.55431992427055,51.38019160209023,Furniture,35.637451629324545
P87321,36.33919022318011,7.069515132507297,26.705318390989724,78.73518893324803,Food,63.96444419358702
P18347,,13.631793145572088,16.490438080515418,8.481152659672695,Clothing,3.4722868093652215
P07348,51.89802933217672,6.532494462232398,29.553689981102785,29.558592947912782,Clothing,69.0615200150827
P98120,28.230527725059506,18.75281457650666,,12.73260399352312,Food,52.80338828038271
P31278,15.816342670669684,19.018328531234207,28.78629667916631,26.086593013250578,Clothing,28.85662792200264
P29552,27.63181393259991,21.52399743823253,20.279966773636133,85.52769935588519,Food,81.46544505940506
P20972,20.778346758223748,12.783587565139918,18.528014936957327,65.05055135506365,Food,29.005071229577517
P48017,40.225704320096405,23.705650336792985,21.1050350477045,35.370997371351116,Toys,99.14150462038035
P77816,38.657551941701215,29.295026420865526,34.528556768954914,62.44318672366373,Electronics,81.63701891133404
P01014,31.504189051435766,24.79035511649528,39.66677918001519,34.670324894128186,Toys,70.79805013830877
