Product ID,Height (cm),Width (cm),Depth (cm),Avg Daily Demand,Product Category,Product_Label
P20106,0.5213116885230157,0.4819254069100801,0.6350654255861794,0.2605153498087552,Electronics,1
P41070,0.42655490111246214,0.5150204495535161,0.8351292243371996,0.08534390317698771,Electronics,1
P29033,0.42422368169732133,0.3652260279949705,0.3644424858186021,0.0913958996946135,Food,2
P47714,0.35393192493617487,0.5117001493613068,0.5141793875093595,0.03431028155153546,Clothing,0
P14692,0.16556325446289866,0.5062392756416783,0.6965364626448602,0.0834504032644041,Food,2
P66892,0.4822336557005166,0.2817721148164042,0.550319382170942,0.36656708679559946,Clothing,0
P27991,0.6102711448398715,0.4621743959611371,0.4722191018033286,0.5968575209755591,Electronics,1
P55994,0.5212700750226668,0.5821144990979975,0.3260243442518277,0.16908537050164116,Toys,4
P74441,0.40762667172268024,0.5569757539910587,0.5581017017751092,0.012749653558856952,Toys,4
P82361,0.3340722269984119,0.38191524264654375,0.578473433475885,0.005606126186432701,Electronics,1
P29514,0.5250705470929088,0.5941176844751482,0.6705023496002505,0.16837068577061756,Clothing,0
P95243,0.26781833153093715,0.40730073871443373,0.46599521884036293,0.01943277536552528,Furniture,3
P84933,0.5134471804252542,0.23241872238869338,0.30891666433547715,0.45560150112631514,Food,2
P11540,0.43066226021712306,0.4394499099108799,0.844555123430542,0.3719109637808707,Electronics,1
P72074,0.6003301118875377,0.6488512256460957,0.38335504661264497,0.48783279443099364,Toys,4
P77759,0.4409073087236965,0.5331089115018298,0.8035719379142172,0.21318771275447265,Food,2
P85981,0.4941623570883673,0.3639073906259599,0.49272862790840305,0.3381933243514149,Electronics,1
P71987,0.2563491403223063,0.5020631892512504,0.27698032428055863,0.4608646874082111,Food,2
P88033,0.6365264589974038,0.735407267751912,0.5440871613163568,0.47646781378399544,Food,2
P91251,0.5398131463169936,0.11248330820856274,0.5063028851998836,0.11724719924319547,Furniture,3
P73955,0.545838562429212,0.4073675523782598,0.30205874004812194,0.29995425360321737,Furniture,3
P11982,0.6648897637776552,0.4394499099108799,0.13682392886689312,0.003803979061825721,Electronics,1
P82065,0.3849830709001516,0.4784696853948787,0.5380657638657017,0.2381391044090401,Electronics,1
P91013,0.2514912978918335,0.40839589259181497,0.47256603821682897,0.23080294641024537,Food,2
P36692,0.41939409526919436,0.4255822106793905,0.41919461270314684,0.5102411160809339,Clothing,0
P17411,0.31306281364927824,0.5229069606394013,0.4710668251901919,0.23839259828893275,Toys,4
P08797,0.3964626422239548,0.6758096220359652,0.5103621119860245,0.29862470828998416,Food,2
P02770,0.4085540345898276,0.52018413414726,0.46654310306216173,0.5083992662113508,Toys,4
P18583,0.604664638910347,0.3014919297829025,0.329037272994586,0.16579955659993614,Toys,4
