Product ID,Height (cm),Width (cm),Depth (cm),Avg Daily Demand,Product Category,Product_Label,Cluster
P20106,0.5213116885230157,0.4819254069100801,0.6350654255861794,0.2605153498087552,Electronics,1,3
P41070,0.4265549011124621,0.5150204495535161,0.8351292243371996,0.0853439031769877,Electronics,1,3
P29033,0.4242236816973213,0.3652260279949705,0.3644424858186021,0.0913958996946135,Food,2,0
P47714,0.3539319249361748,0.5117001493613068,0.5141793875093595,0.0343102815515354,Clothing,0,1
P14692,0.1655632544628986,0.5062392756416783,0.6965364626448602,0.0834504032644041,Food,2,0
P66892,0.4822336557005166,0.2817721148164042,0.550319382170942,0.3665670867955994,Clothing,0,1
P27991,0.6102711448398715,0.4621743959611371,0.4722191018033286,0.5968575209755591,Electronics,1,3
P55994,0.5212700750226668,0.5821144990979975,0.3260243442518277,0.1690853705016411,Toys,4,2
P74441,0.4076266717226802,0.5569757539910587,0.5581017017751092,0.0127496535588569,Toys,4,2
P82361,0.3340722269984119,0.3819152426465437,0.578473433475885,0.0056061261864327,Electronics,1,3
P29514,0.5250705470929088,0.5941176844751482,0.6705023496002505,0.1683706857706175,Clothing,0,1
P95243,0.2678183315309371,0.4073007387144337,0.4659952188403629,0.0194327753655252,Furniture,3,4
P84933,0.5134471804252542,0.2324187223886933,0.3089166643354771,0.4556015011263151,Food,2,0
P11540,0.430662260217123,0.4394499099108799,0.844555123430542,0.3719109637808707,Electronics,1,3
P72074,0.6003301118875377,0.6488512256460957,0.3833550466126449,0.4878327944309936,Toys,4,2
P77759,0.4409073087236965,0.5331089115018298,0.8035719379142172,0.2131877127544726,Food,2,0
P85981,0.4941623570883673,0.3639073906259599,0.492728627908403,0.3381933243514149,Electronics,1,3
P71987,0.2563491403223063,0.5020631892512504,0.2769803242805586,0.4608646874082111,Food,2,0
P88033,0.6365264589974038,0.735407267751912,0.5440871613163568,0.4764678137839954,Food,2,0
P91251,0.5398131463169936,0.1124833082085627,0.5063028851998836,0.1172471992431954,Furniture,3,4
P73955,0.545838562429212,0.4073675523782598,0.3020587400481219,0.2999542536032173,Furniture,3,4
P11982,0.6648897637776552,0.4394499099108799,0.1368239288668931,0.0038039790618257,Electronics,1,3
P82065,0.3849830709001516,0.4784696853948787,0.5380657638657017,0.2381391044090401,Electronics,1,3
P91013,0.2514912978918335,0.4083958925918149,0.4725660382168289,0.2308029464102453,Food,2,0
P36692,0.4193940952691943,0.4255822106793905,0.4191946127031468,0.5102411160809339,Clothing,0,1
P17411,0.3130628136492782,0.5229069606394013,0.4710668251901919,0.2383925982889327,Toys,4,2
P08797,0.3964626422239548,0.6758096220359652,0.5103621119860245,0.2986247082899841,Food,2,0
P02770,0.4085540345898276,0.52018413414726,0.4665431030621617,0.5083992662113508,Toys,4,2
P18583,0.604664638910347,0.3014919297829025,0.329037272994586,0.1657995565999361,Toys,4,2
P35638,0.4699727804406949,0.3412358873414969,0.3816513150233,0.7322493142670818,Electronics,1,3
P19795,0.2119318093856798,0.5632378896018609,0.5043728414954145,0.2242819852898067,Toys,4,2
P88961,0.3219380686069108,0.5001984144060345,0.161917299059367,0.252449861116192,Furniture,3,4
P01414,0.6391798124788788,0.5168808586886943,0.3430223899845132,0.3770392068330148,Food,2,0
P54326,0.2759470083708659,0.5441555187652822,0.6213819665735418,0.2628933800578732,Food,2,0
P22255,0.4773856221705316,0.1964690273411413,0.4757379290603222,0.5182091580569655,Electronics,1,3
P02202,0.2608910010058964,0.1346721714533874,0.3370746358107215,0.0151816591383367,Electronics,1,3
P51024,0.6707269796825274,0.5576774587609877,0.4889404849897049,0.2809050163682823,Electronics,1,3
P55072,0.1743460608884217,0.6800731045245687,0.6469545583385349,0.0012260915193734,Clothing,0,1
P89057,0.3199072502079566,0.4244196756899591,0.3966476161328862,0.2609856101627501,Furniture,3,4
P08578,0.4416574427205583,0.4777403635304798,0.4500858809992209,0.4475055708681958,Food,2,0
P17412,0.3022413914102964,0.4281754986139288,0.5591251260946187,0.2539913098147831,Food,2,0
P43915,0.3399928093378536,0.4825242130589353,0.2161363786068799,0.6451719798087387,Furniture,3,4
P85642,0.4438885742210717,0.6352053476413847,0.4937362012736095,0.4037062892963558,Clothing,0,1
P48227,0.4814813496092373,0.3909997021058307,0.8829677546502873,0.2219956328193372,Food,2,0
P06891,0.3057781936525302,0.4157995345963459,0.6810629214619094,0.2560882195321288,Food,2,0
P30456,0.2760661206162541,0.4077843209136019,0.3679583298043755,0.0435691362740532,Toys,4,2
P12076,0.4028577298894648,0.2117689070477242,0.3084275700858399,0.1321353823233917,Furniture,3,4
P78355,0.3850768568221148,0.4339223549309261,0.3739593444885519,0.2967298129464985,Food,2,0
P96889,0.5798555718778451,0.0141326241619531,0.6027051979999353,0.2963873217156152,Clothing,0,1
P29400,0.4656011409267115,0.4381694215110658,0.0244780676191292,0.3127048918801524,Clothing,0,1
P05309,0.4542412172771652,0.5524820055352265,0.4447733570389146,0.2759947150811386,Electronics,1,3
P47706,0.5662143479494076,0.3095200830983419,0.8090972143607705,0.3046743128221692,Electronics,1,3
P35407,0.488779397776125,0.5598627686621048,0.1962130576119863,0.1113543067353941,Clothing,0,1
P52994,0.5232689349041054,0.388477766002656,0.5425078216216481,0.1312237020146535,Food,2,0
P88811,0.3366775033993386,0.5961261066490163,0.5312606642260065,0.4355809234951007,Furniture,3,4
P41237,0.5225361320637065,0.2458039803112924,0.2306907177548487,0.1466020636415676,Clothing,0,1
P09603,0.4367282910980943,0.4276881591271937,0.6763879433045716,0.087787245372114,Furniture,3,4
P89068,0.5400434236869396,0.6993767309433957,0.4749229366878266,0.2682416895427197,Food,2,0
P17016,0.1125835781743329,0.6439582345812189,0.7127073769288162,0.2620144711488575,Furniture,3,4
P92196,0.2700947664753663,0.6866207615597086,0.5418227950902219,0.1693899802538145,Toys,4,2
P85912,0.4077794939807748,0.1521630472026229,0.5597971137430836,0.2683629925313914,Toys,4,2
P92283,0.3849374088914068,0.5191960592897303,0.4156230866846362,0.2520033143701564,Furniture,3,4
P92557,0.2133255542663541,0.497856669647878,0.5765848439892098,0.3345357233630674,Clothing,0,1
P99536,0.4471607405930002,0.6036262284926268,0.5124387831420564,0.1016962126197738,Electronics,1,3
P99063,0.4889758523607353,0.6083586014706386,0.4019800479141031,0.2868975818314198,Furniture,3,4
P01748,0.5066205165068831,0.6473666157159733,0.7928639860591956,0.0275351807048849,Clothing,0,1
P44974,0.4656011409267115,0.4238856976263457,0.6377694908983795,0.0055908529891262,Clothing,0,1
P76964,0.502218968629152,0.5788515751532421,0.1839355964958156,0.2807267372942176,Food,2,0
P57938,0.4255322565693876,0.390210291548017,0.4283522492579479,0.3814650122458761,Furniture,3,4
P55597,0.473553332001368,0.0212000065449124,0.4481113665058089,0.3870789637465914,Furniture,3,4
P44186,0.4184718802426256,0.4333890356517944,0.7157846453952794,0.2616579875247422,Clothing,0,1
P15156,0.4429913877428752,0.417916898476139,0.4882619194086402,0.4406941750667113,Clothing,0,1
P35409,0.0475204927674449,0.5239497065050263,0.3565658682139437,0.248682448169271,Toys,4,2
P18358,0.3350799959337442,0.4964660007250533,0.4514334653784697,0.2352100966360606,Furniture,3,4
P33172,0.5009548051599921,0.1640697971106391,0.5101621563112319,0.3298605475573846,Clothing,0,1
P75154,0.3636086521007652,0.4290688445876052,0.6865968221742885,0.3179315577429497,Toys,4,2
P88675,0.5662779557917403,0.4057187024811081,0.7305426647696409,0.4304139954643256,Electronics,1,3
P34603,0.3984166207236438,0.4883011475632839,0.5825393349243655,0.5675110041554325,Toys,4,2
P35158,0.5140633149800492,0.1986866818792874,0.4266758657304491,0.4631836472214439,Clothing,0,1
P26752,0.4851686165031349,0.5185241038517855,0.45546733847633,0.2724838660012755,Furniture,3,4
P87321,0.5337518285027779,0.2020230464977097,0.5114785889189489,0.4175634432722108,Food,2,0
P18347,0.4656011409267115,0.3201218505002097,0.3299017886271112,0.0449651293057196,Clothing,0,1
P07348,0.7480527174719456,0.1923584911774656,0.5621104302773415,0.1567511437568431,Clothing,0,1
P98120,0.4220665305493201,0.4122829118055185,0.4725660382168289,0.0675130665193865,Food,2,0
P31278,0.251078780477068,0.4170612647550384,0.548469465714288,0.1383370939688811,Clothing,0,1
P29552,0.4138200992401872,0.4621548283854752,0.3972633703389794,0.4535881055594987,Food,2,0
P20972,0.319423332379826,0.3048570195378741,0.3661211739450233,0.3449857928007342,Food,2,0
P48017,0.5872830347917333,0.5014172000124655,0.4119295487643913,0.187577729717415,Toys,4,2
P77816,0.5656839651969532,0.6020070606271726,0.6505422440392767,0.3311574105883249,Electronics,1,3
P01014,0.4671565612072476,0.520938216483209,0.7418778207891541,0.1838616530689593,Toys,4,2
